Agent_ID,Observation,Action,Reward
2,[0.  9.5],1,5.0
3,[45.013004  4.5     ],0,2.7493498345032643
4,[0.       9.827937],0,5.0
1,[0.        7.0922937],0,5.0
2,[0.       9.827937],0,5.0
3,[45.32467  4.     ],0,2.733766536098352
4,[0.       9.827937],1,5.0
1,[0.        7.0922937],1,5.0
2,[0.  9.5],0,5.0
3,[45.49793  3.5    ],0,2.7251035979384586
4,[0.       9.827937],1,5.0
1,[0.        7.0922937],1,5.0
2,[0. 9.],1,5.0
3,[46.085854  3.      ],0,2.6957073832201828
4,[0.       9.827937],1,5.0
1,[0.        7.0922937],1,5.0
2,[0.  9.5],1,5.0
3,[47.784832  2.5     ],0,2.6107584001967044
4,[0.       9.827937],1,5.0
1,[0.        7.0922937],1,5.0
2,[0.       9.827937],1,5.0
3,[49.570034  2.      ],0,2.5214982531273336
4,[0.       9.827937],1,5.0
1,[0.        7.0922937],0,5.0
2,[0.       9.827937],1,5.0
3,[52.609882  1.5     ],0,2.3695058421712916
4,[0.       9.827937],0,5.0
1,[0.        7.0922937],0,5.0
2,[0.       9.827937],1,5.0
3,[56.045315  1.      ],0,2.1977343298823775
4,[0.       9.827937],1,5.0
1,[0.        7.0922937],1,5.0
2,[0.       9.827937],0,5.0
3,[59.379974  0.5     ],0,2.031001195919912
4,[0.       9.827937],1,5.0
1,[0.        7.0922937],0,5.0
2,[0.       9.827937],1,5.0
3,[63.61053  0.     ],1,1.8194734579478373
4,[0.       9.827937],1,5.0
1,[0.        7.0922937],1,5.0
2,[0.       9.827937],1,5.0
3,[66.873276  0.5     ],0,1.6563361484712713
4,[0.       9.827937],1,5.0
1,[0.        7.0922937],1,5.0
2,[0.       9.827937],1,5.0
3,[70.73967  0.     ],1,1.4630164471991192
4,[0.       9.827937],1,5.0
1,[0.        7.0922937],1,5.0
2,[0.       9.827937],1,5.0
3,[73.772255  0.5     ],1,1.3113871934342818
4,[0.       9.827937],0,5.0
1,[0.        7.0922937],1,5.0
2,[0.       9.827937],1,5.0
3,[77.19358  1.     ],0,1.140321083763554
4,[0.       9.827937],1,5.0
1,[0.        7.0922937],1,5.0
2,[0.       9.827937],1,5.0
3,[81.307396  0.5     ],0,0.9346300718236022
4,[0.       9.827937],1,5.0
1,[0.        7.0922937],0,5.0
2,[0.       9.827937],0,5.0
3,[85.160545  0.      ],0,0.741972744759567
4,[0.       9.827937],1,5.0
1,[0.        7.0922937],0,5.0
2,[0.       9.827937],1,5.0
3,[88.88592  0.     ],0,0.5557040790611134
4,[0.       9.827937],1,5.0
1,[0.        7.0922937],1,5.0
2,[0.       9.827937],1,5.0
3,[93.51321  0.     ],1,0.32433980697675724
4,[0.       9.827937],1,5.0
1,[0.        7.0922937],1,5.0
2,[0.       9.827937],0,5.0
3,[97.49571  0.5    ],1,0.12521456411115683
4,[0.       9.827937],1,5.0
1,[0.        7.0922937],0,5.0
2,[0.       9.827937],1,5.0
3,[100.   1.],1,0.0
4,[0.       9.827937],0,5.0
1,[0.        7.0922937],1,5.0
2,[0.       9.827937],1,5.0
3,[100.    1.5],0,0.0
4,[0.       9.827937],1,5.0
1,[0.        7.0922937],1,5.0
2,[0.       9.827937],1,5.0
3,[100.   1.],1,0.0
4,[0.       9.827937],1,5.0
1,[0.        7.0922937],1,5.0
2,[0.       9.827937],0,5.0
3,[100.    1.5],1,0.0
4,[0.       9.827937],1,5.0
1,[0.        7.0922937],1,5.0
2,[0.       9.827937],0,5.0
3,[100.   2.],0,0.0
4,[0.       9.827937],1,5.0
1,[0.        7.0922937],0,5.0
2,[0.       9.827937],1,5.0
3,[100.    1.5],0,0.0
4,[0.       9.827937],0,5.0
1,[0.        7.0922937],1,5.0
2,[0.       9.827937],0,5.0
3,[100.   1.],1,0.0
4,[0.       9.827937],1,5.0
1,[0.        7.0922937],0,5.0
2,[0.       9.827937],1,5.0
3,[100.    1.5],0,0.0
4,[0.       9.827937],0,5.0
1,[0.        7.0922937],0,5.0
2,[0.       9.827937],1,5.0
3,[100.   1.],0,0.0
4,[0.       9.827937],1,5.0
1,[0.        7.0922937],1,5.0
2,[0.       9.827937],1,5.0
3,[100.    0.5],0,0.0
4,[0.       9.827937],1,5.0
1,[0.        7.0922937],1,5.0
2,[0.       9.827937],0,5.0
3,[100.   0.],1,0.0
4,[0.       9.827937],1,5.0
1,[0.        7.0922937],1,5.0
2,[0.       9.827937],1,5.0
3,[100.    0.5],0,0.0
4,[0.       9.827937],1,5.0
1,[0.        7.0922937],1,5.0
2,[0.       9.827937],0,5.0
3,[100.   0.],0,0.0
4,[0.       9.827937],1,5.0
1,[0.        7.0922937],0,5.0
2,[0.       9.827937],0,5.0
3,[100.   0.],0,0.0
4,[0.       9.827937],1,5.0
1,[0.        7.0922937],1,5.0
2,[0.       9.827937],0,5.0
3,[100.   0.],0,0.0
4,[0.       9.827937],1,5.0
1,[0.        7.0922937],0,5.0
2,[0.       9.827937],1,5.0
3,[100.   0.],0,0.0
4,[0.       9.827937],0,5.0
1,[0.        7.0922937],0,5.0
2,[0.       9.827937],1,5.0
3,[100.   0.],1,0.0
4,[0.       9.827937],1,5.0
1,[0.        7.0922937],1,5.0
2,[0.       9.827937],0,5.0
3,[100.    0.5],1,0.0
4,[0.       9.827937],1,5.0
1,[0.        7.0922937],1,5.0
2,[0.       9.827937],0,5.0
3,[100.   1.],0,0.0
4,[0.       9.827937],1,5.0
1,[0.        7.0922937],1,5.0
2,[0.       9.827937],0,5.0
3,[100.    0.5],0,0.0
4,[0.       9.827937],0,5.0
1,[0.        7.0922937],1,5.0
2,[0.       9.827937],0,5.0
3,[100.   0.],0,0.0
4,[0.       9.827937],1,5.0
1,[0.        7.0922937],1,5.0
2,[0.       9.827937],0,5.0
3,[100.   0.],0,0.0
4,[0.       9.827937],1,5.0
1,[0.        7.0922937],1,5.0
2,[0.       9.827937],0,5.0
3,[100.   0.],1,0.0
4,[0.       9.827937],1,5.0
1,[0.        7.0922937],1,5.0
2,[0.       9.827937],0,5.0
3,[100.    0.5],1,0.0
4,[0.       9.827937],1,5.0
1,[0.        7.0922937],1,5.0
2,[0.       9.827937],1,5.0
3,[100.   1.],0,0.0
4,[0.       9.827937],1,5.0
1,[0.        7.0922937],1,5.0
2,[0.       9.827937],1,5.0
3,[100.    0.5],0,0.0
4,[0.       9.827937],1,5.0
1,[0.        7.0922937],1,5.0
2,[0.       9.827937],0,5.0
3,[100.   0.],1,0.0
4,[0.       9.827937],0,5.0
1,[0.        7.0922937],1,5.0
2,[0.       9.827937],1,5.0
3,[100.    0.5],0,0.0
4,[0.       9.827937],0,5.0
1,[0.        7.0922937],1,5.0
2,[0.       9.827937],1,5.0
3,[100.   0.],0,0.0
4,[0.       9.827937],1,5.0
1,[0.        7.0922937],0,5.0
2,[0.       9.827937],1,5.0
3,[100.   0.],0,0.0
4,[0.       9.827937],1,5.0
1,[0.        7.0922937],0,5.0
2,[0.       9.827937],1,5.0
3,[100.   0.],0,0.0
4,[0.       9.827937],0,5.0
1,[0.        7.0922937],1,5.0
2,[0.       9.827937],0,5.0
3,[100.   0.],1,0.0
4,[0.       9.827937],0,5.0
1,[0.        7.0922937],0,5.0
2,[0.       9.827937],1,5.0
3,[100.    0.5],0,0.0
4,[0.       9.827937],0,5.0
1,[0.        7.0922937],1,5.0
2,[0.       9.827937],1,5.0
3,[100.   0.],0,0.0
4,[0.       9.827937],1,5.0
1,[0.        7.0922937],1,5.0
2,[0.       9.827937],0,5.0
3,[100.   0.],0,0.0
4,[0.       9.827937],0,5.0
1,[0.        7.0922937],1,5.0
2,[0.       9.827937],0,5.0
3,[100.   0.],0,0.0
4,[0.       9.827937],0,5.0
1,[0.        7.0922937],0,5.0
2,[0.       9.827937],0,5.0
3,[100.   0.],0,0.0
4,[0.       9.827937],1,5.0
1,[0.        7.0922937],1,5.0
2,[0.       9.827937],1,5.0
3,[100.   0.],0,0.0
4,[0.       9.827937],1,5.0
